Lower Cutoff Value,Upper Cutoff Value,Value
20,20,0.06087634284661625
20,35,0.061091747814983687
20,50,0.060943361373394025
35,20,0.06171319411442071
35,35,0.06230646225069044
35,50,0.06200045434308624
