Seed,Lower Cutoff Value,Upper Cutoff Value,Strategy,Metric,Task 1 - 1,Task 1 - 2,Task 1 - 3,Task 1 - 4,Task 2 - 1,Task 2 - 2,Task 2 - 3,Task 2 - 4,Task 3 - 1,Task 3 - 2,Task 3 - 3,Task 3 - 4,Task 4 - 1,Task 4 - 2,Task 4 - 3,Task 4 - 4
31,20,20,uniform,-,0.1167181964210514,0.10601456296131626,0.10409108636642056,0.09838278471569112,0.05092846520650694,0.04018491851566173,0.03994062773477724,0.04047587881115583,0.058609663021782187,0.06516452645754114,0.0506765196913174,0.05130169249135087,0.0882665422435828,0.10837521464042439,0.11044395906751892,0.06796383084857394
31,20,20,simple_sorted,vog,0.1167181964210514,0.10613628053688733,0.10600684270137499,0.09502180342737897,0.05092846520650694,0.039741272776038054,0.03926493943933088,0.03836296690910798,0.058609663021782187,0.06601571865219007,0.050402532378546624,0.04941682622257226,0.0882665422435828,0.10847488473112785,0.11065801960546047,0.0646564983900029
31,20,20,simple_sorted,learning_speed,0.1167181964210514,0.10984835763762507,0.10973328620092267,0.0933235934979245,0.05092846520650694,0.04038088916024369,0.04108898407408706,0.038190220556833,0.058609663021782187,0.06589875962764569,0.05026587634437574,0.0509490947005626,0.0882665422435828,0.11046121753971797,0.11327295734278112,0.06430249083018724
31,20,20,simple_sorted,mc_variance,0.1167181964210514,0.10401409366492641,0.10128352680951136,0.09499326838871894,0.05092846520650694,0.040276462232485884,0.04010588781198321,0.03941947867330644,0.058609663021782187,0.06573577578976858,0.05009680890746716,0.05067345260848112,0.0882665422435828,0.10703873962222477,0.10919368712044887,0.06656327755839979
31,20,35,uniform,-,0.1167181964210514,0.10601456296131626,0.10409108636642056,0.09838278471569112,0.05092846520650694,0.04018491851566173,0.03994062773477724,0.04047587881115583,0.058609663021782187,0.06516452645754114,0.0506765196913174,0.05130169249135087,0.0882665422435828,0.10837521464042439,0.11044395906751892,0.06796383084857394
31,20,35,simple_sorted,vog,0.1167181964210514,0.102797724619633,0.10549376403348491,0.09723941088312048,0.05092846520650694,0.03951055778131785,0.03983030790585843,0.038347584401980515,0.058609663021782187,0.06576101022592618,0.05080928301771636,0.04946741532672487,0.0882665422435828,0.10840797002751139,0.11170071820144803,0.06526102392050513
31,20,35,simple_sorted,learning_speed,0.1167181964210514,0.10420377974573834,0.10568198389306967,0.10232292279947293,0.05092846520650694,0.03974419623869538,0.04170491968663169,0.0423621291759021,0.058609663021782187,0.06565651157381261,0.049770009933285904,0.05406253523897848,0.0882665422435828,0.10906956343379143,0.11500764970460903,0.06510209053579154
31,20,35,simple_sorted,mc_variance,0.1167181964210514,0.10342580330472033,0.09157199619197044,0.09261086148551002,0.05092846520650694,0.04056892900548897,0.03871303834341317,0.03929905877755501,0.058609663021782187,0.06348909939859344,0.048668967470254565,0.05073031741872174,0.0882665422435828,0.10748345983051832,0.10801164065222375,0.06684321094823961
31,20,50,uniform,-,0.1167181964210514,0.10601456296131626,0.10409108636642056,0.09838278471569112,0.05092846520650694,0.04018491851566173,0.03994062773477724,0.04047587881115583,0.058609663021782187,0.06516452645754114,0.0506765196913174,0.05130169249135087,0.0882665422435828,0.10837521464042439,0.11044395906751892,0.06796383084857394
31,20,50,simple_sorted,vog,0.1167181964210514,0.10600152501244386,0.10281659162580761,0.0996325439117477,0.05092846520650694,0.041053854770168534,0.03958056130176971,0.03986408539692789,0.058609663021782187,0.06385106333197978,0.050174219606987466,0.05149162158691626,0.0882665422435828,0.10826413143126107,0.11153639744681787,0.06679280345238496
31,20,50,simple_sorted,learning_speed,0.1167181964210514,0.1064206785455648,0.09852380111437886,0.09331538709036148,0.05092846520650694,0.040724490980022614,0.04260835558773795,0.040407888390614856,0.058609663021782187,0.06446111921322036,0.048747939468419675,0.0519124091364233,0.0882665422435828,0.1085446678350857,0.11122244549640738,0.06390289403132231
31,20,50,simple_sorted,mc_variance,0.1167181964210514,0.10287414608293986,0.09973954576934498,0.09431990631959607,0.05092846520650694,0.040004223875466594,0.04017382146294274,0.03918701318068627,0.058609663021782187,0.0646721127287881,0.04947421434642072,0.04960880565854417,0.0882665422435828,0.1076676495417162,0.10941234459343031,0.06583775448190206
31,35,20,uniform,-,0.1167181964210514,0.10601456296131626,0.10409108636642056,0.09838278471569112,0.05092846520650694,0.04018491851566173,0.03994062773477724,0.04047587881115583,0.058609663021782187,0.06516452645754114,0.0506765196913174,0.05130169249135087,0.0882665422435828,0.10837521464042439,0.11044395906751892,0.06796383084857394
31,35,20,simple_sorted,vog,0.1167181964210514,0.11121723443284462,0.1056448805173081,0.10069736029567898,0.05092846520650694,0.040268841787190694,0.04053382197218843,0.039924767092510756,0.058609663021782187,0.0668073409027201,0.05003430233782804,0.05033584292844045,0.0882665422435828,0.10982585456844397,0.11128648641301513,0.06697536252570761
31,35,20,simple_sorted,learning_speed,0.1167181964210514,0.11750600706865101,0.11403468464838651,0.11304008506986096,0.05092846520650694,0.04006241536072127,0.039921587654376096,0.04094311132130445,0.058609663021782187,0.06517797823960304,0.05034947085261807,0.051130401012840755,0.0882665422435828,0.11246801043306212,0.11618817367816019,0.06678763553061046
31,35,20,simple_sorted,mc_variance,0.1167181964210514,0.10390420674217024,0.09784782292285416,0.09830115092490135,0.05092846520650694,0.04042552070836283,0.03901089597226556,0.03990455800960945,0.058609663021782187,0.06571656257722282,0.04975379618347582,0.05114844749827509,0.0882665422435828,0.10867772448976289,0.10917230333935302,0.06756963383238067
31,35,35,uniform,-,0.1167181964210514,0.10601456296131626,0.10409108636642056,0.09838278471569112,0.05092846520650694,0.04018491851566173,0.03994062773477724,0.04047587881115583,0.058609663021782187,0.06516452645754114,0.0506765196913174,0.05130169249135087,0.0882665422435828,0.10837521464042439,0.11044395906751892,0.06796383084857394
31,35,35,simple_sorted,vog,0.1167181964210514,0.11330892376185524,0.10390303138453832,0.10084814879190668,0.05092846520650694,0.041141666860498464,0.03878821821130791,0.0393504720021114,0.058609663021782187,0.06520902114344619,0.04977631153292463,0.05075520207753944,0.0882665422435828,0.10967215971768722,0.11169614410119347,0.06512880243346358
